step,agent,economic_cost,step_total_cost,voltage_cost,voltage_violation_area,voltage_min_pu,voltage_max_pu,pf_converged,pcc_p_kw,pcc_q_kvar,p_el,p_bat,soc,p_ht,h2_level,pending_h2_energy,h2_emergency_buy_energy,h2_planned_external_order_energy,h2_late_order_energy,external_min_eta,action_0,action_1,action_2,action_3,action_4,action_5,action_6
0,0,176454.05909347534,176454.05909347534,0.0,0.0,0.9596915179440527,1.0,True,601.56005859375,226.86941528320312,842.3455810546875,-314.12957763671875,0.4338674545288086,-0.0,200.0,0.0,0.0,0.0,0.0,0.0,-0.15765438973903656,-0.1570647954940796,0.06526751071214676,-0.24460721015930176,-0.18676628172397614,0.02774217538535595,0.1472155898809433
0,1,176454.05909347534,176454.05909347534,0.0,0.0,0.9596915179440527,1.0,True,1281.8470458984375,213.70530700683594,1522.652099609375,-127.85267639160156,0.4551393985748291,120.01889038085938,203.60092163085938,0.0,0.0,0.0,0.0,0.0,0.015101377852261066,-0.1065438985824585,-0.2510260045528412,0.17247198522090912,0.06000944599509239,0.20190317928791046,-0.14681974053382874
0,2,176454.05909347534,176454.05909347534,0.0,0.0,0.9596915179440527,1.0,True,-164.6778564453125,286.5322570800781,200.46702575683594,-0.0,0.5,-273.1848449707031,111.80363464355469,2703.099609375,301.2204895019531,2405.95263671875,0.0,0.0,-0.19813188910484314,-0.07855411618947983,0.26981550455093384,-0.11415603011846542,-0.08034848421812057,-0.1336219608783722,0.035143595188856125
0,3,176454.05909347534,176454.05909347534,0.0,0.0,0.9596915179440527,1.0,True,1121.290771484375,229.25405883789062,485.5289611816406,2.326523542404175,0.5011050701141357,-604.506103515625,101.86300659179688,2799.166748046875,0.0,2915.798583984375,0.0,0.0,0.2138223946094513,0.0029081543907523155,0.045924700796604156,-0.1783776581287384,-0.30452409386634827,-0.28226491808891296,0.1236901506781578
1,0,117279.92816543579,117279.92816543579,0.0,0.0,0.969201604705818,1.0,True,0.0,180.8182830810547,599.8260498046875,-548.2155151367188,0.31845366954803467,-0.0,200.0,0.0,0.0,0.0,0.0,0.0,-0.40017396211624146,-0.3728480041027069,0.1712445765733719,-0.46613067388534546,-0.4250732958316803,0.07088498771190643,0.3013065457344055
1,1,117279.92816543579,117279.92816543579,0.0,0.0,0.969201604705818,1.0,True,839.0269165039062,172.29959106445312,1342.9073486328125,-228.7794952392578,0.37486588954925537,221.36734008789062,210.2425994873047,0.0,0.0,0.0,0.0,0.0,-0.10472846031188965,-0.1906495839357376,-0.4675390124320984,0.2792991101741791,0.11068367213010788,0.4459514021873474,-0.2687295377254486
1,2,117279.92816543579,117279.92816543579,0.0,0.0,0.969201604705818,1.0,True,-362.47015380859375,249.62069702148438,128.46302795410156,-0.0,0.5,-508.43524169921875,96.5490493774414,4820.5322265625,0.0,1929.5001220703125,0.0,0.0,-0.4861479103565216,-0.16303430497646332,0.572715163230896,-0.3709300458431244,-0.1873251497745514,-0.32133573293685913,0.1119050607085228
1,3,117279.92816543579,117279.92816543579,0.0,0.0,0.969201604705818,1.0,True,1039.6385498046875,179.71585083007812,472.9494934082031,81.4843978881836,0.5398101806640625,-436.0727233886719,88.7795181274414,4734.822265625,0.0,2016.3077392578125,0.0,0.0,0.1823737621307373,0.10185550153255463,-0.02608153410255909,-0.356385201215744,-0.6417286396026611,-0.5036780834197998,0.2412363588809967
2,0,68365.13739013672,68365.13739013672,0.0,0.0,0.971498883155246,1.0,True,0.0,156.867919921875,354.8341369628906,-218.86016845703125,0.2723778486251831,-0.0,200.0,0.0,0.0,0.0,0.0,0.0,-0.6451658606529236,-0.6493830680847168,0.34222033619880676,-0.6797932386398315,-0.6977213025093079,0.13501892983913422,0.46881115436553955
2,1,68365.13739013672,68365.13739013672,0.0,0.0,0.971498883155246,1.0,True,585.6666259765625,154.0568389892578,1099.794189453125,-292.3053894042969,0.2723025977611542,331.01446533203125,220.1740264892578,0.0,0.0,0.0,0.0,0.0,-0.26680389046669006,-0.24358782172203064,-0.6453913450241089,0.3416540026664734,0.1655072271823883,0.6696208119392395,-0.4027794897556305
2,2,68365.13739013672,68365.13739013672,0.0,0.0,0.971498883155246,1.0,True,-488.29473876953125,218.43177795410156,61.553836822509766,-0.0,0.5,-477.20867919921875,82.23135375976562,6069.46630859375,7.62939453125e-06,1300.972900390625,0.0,0.0,-0.7537846565246582,-0.3325496017932892,0.8336914777755737,-0.7478594779968262,-0.37081336975097656,-0.5997006297111511,0.21085000038146973
2,3,68365.13739013672,68365.13739013672,0.0,0.0,0.971498883155246,1.0,True,1106.099853515625,164.14370727539062,419.293212890625,247.11155700683594,0.6571881771087646,-380.353759765625,77.36776733398438,5800.38671875,0.0,991.723388671875,0.0,0.0,0.0482330396771431,0.3088894486427307,-0.052108969539403915,-0.6027450561523438,-0.8823031187057495,-0.7267783880233765,0.3161006569862366
3,0,88686.29570007324,88686.29570007324,0.0,0.0,0.9748635311161412,1.0,True,0.0,153.56712341308594,171.66209411621094,-11.36871337890625,0.2699844241142273,-9.140472412109375,199.7257537841797,973.2156982421875,0.0,1013.766357421875,0.0,0.0,-0.8283379077911377,-0.8358631134033203,0.5363787412643433,-0.8360127210617065,-0.8639989495277405,0.21651963889598846,0.6159541010856628
3,1,88686.29570007324,88686.29570007324,0.0,0.0,0.9748635311161412,1.0,True,220.12692260742188,148.1895294189453,682.4856567382812,-314.8024597167969,0.1618455946445465,444.65496826171875,233.5150146484375,1161.7852783203125,99.77253723144531,1200.19140625,0.0,0.0,-0.5450095534324646,-0.2623353898525238,-0.7524991631507874,0.36647650599479675,0.22232748568058014,0.8002869486808777,-0.547421932220459
3,2,88686.29570007324,88686.29570007324,0.0,0.0,0.9748635311161412,1.0,True,-614.319580078125,208.57473754882812,28.480693817138672,-0.0,0.5,-489.44775390625,67.54645538330078,6069.46630859375,0.0,0.0,0.0,0.0,-0.8860772252082825,-0.5121878981590271,0.9343794584274292,-0.9322100877761841,-0.5945841073989868,-0.8204538226127625,0.34525078535079956
3,3,88686.29570007324,88686.29570007324,0.0,0.0,0.9748635311161412,1.0,True,1095.114013671875,150.0209503173828,297.01904296875,405.0987854003906,0.8496100902557373,-426.8231201171875,64.5617904663086,6311.7080078125,0.0,532.626220703125,0.0,0.0,-0.25745242834091187,0.5063734650611877,0.04467228055000305,-0.7698361277580261,-0.9586322903633118,-0.8688920140266418,0.40076354146003723
4,0,113238.05164718628,113238.05164718628,0.0,0.0,0.9792602303934801,1.0,True,-121.5218505859375,151.82786560058594,90.39425659179688,-0.0,0.2699844241142273,-57.937217712402344,197.98745727539062,2124.696533203125,0.0,1209.5386962890625,0.0,0.0,-0.9096057415008545,-0.9294823408126831,0.7319248914718628,-0.9036611318588257,-0.9193469882011414,0.4514462351799011,0.7141625285148621
4,1,113238.05164718628,113238.05164718628,0.0,0.0,0.9792602303934801,1.0,True,149.27328491210938,147.81515502929688,379.4102783203125,-176.25994873046875,0.10000000149011612,478.92218017578125,247.8841094970703,2365.806640625,330.42938232421875,1243.8236083984375,0.0,0.0,-0.7470598220825195,-0.24892356991767883,-0.8150672912597656,0.5209187865257263,0.23946109414100647,0.8657354116439819,-0.7702586054801941
4,2,113238.05164718628,113238.05164718628,0.0,0.0,0.9792602303934801,1.0,True,-653.8846435546875,222.8451690673828,21.99985122680664,-0.0,0.5,-506.2683410644531,133.45797729492188,3725.120849609375,9.5367431640625e-06,373.7021789550781,0.0,0.16666666666666666,-0.9120005965232849,-0.678128182888031,0.9680801630020142,-0.9699838161468506,-0.7174378037452698,-0.8850147128105164,0.48422160744667053
4,3,113238.05164718628,113238.05164718628,0.0,0.0,0.9792602303934801,1.0,True,706.9427490234375,159.15882873535156,178.81982421875,106.08402252197266,0.8999999761581421,-536.5692138671875,132.44650268554688,3783.254638671875,3.0517578125e-05,281.9932556152344,0.0,0.0,-0.5529504418373108,0.7275633811950684,0.3437421917915344,-0.8729839324951172,-0.9753807187080383,-0.9305862784385681,0.568172037601471
5,0,122947.38461494446,122947.38461494446,0.0,0.0,0.9804070768652744,1.0,True,-153.3585205078125,165.09707641601562,64.4403076171875,-0.0,0.2699844241142273,-87.70774841308594,195.35595703125,3467.674072265625,0.0,1410.690673828125,0.0,0.0,-0.9355596899986267,-0.9570081233978271,0.8258808255195618,-0.9368764758110046,-0.9335625767707825,0.6928287744522095,0.7884655594825745
5,1,122947.38461494446,122947.38461494446,0.0,0.0,0.9804070768652744,1.0,True,189.38919067382812,159.55010986328125,182.54058837890625,-4.246830940246582e-06,0.10000000149011612,500.26190185546875,262.8934631347656,3582.9267578125,493.7476501464844,1257.3555908203125,0.0,0.0,-0.8783062696456909,-0.1586766391992569,-0.8362293839454651,0.6723000407218933,0.25013095140457153,0.8860334157943726,-0.8929120302200317
5,2,122947.38461494446,122947.38461494446,0.0,0.0,0.9804070768652744,1.0,True,-744.282958984375,254.2952423095703,20.290882110595703,-0.0,0.5,-618.5157470703125,178.4299774169922,1853.1693115234375,3.0517578125e-05,255.7095489501953,0.0,0.16666666666666666,-0.9188364744186401,-0.733703076839447,0.9784388542175293,-0.9784491658210754,-0.783355176448822,-0.9213201403617859,0.6650767922401428
5,3,122947.38461494446,122947.38461494446,0.0,0.0,0.9804070768652744,1.0,True,599.52490234375,178.87864685058594,114.3808822631836,5.019338641432114e-05,0.8999999761581421,-645.9003295898438,171.14303588867188,2023.84912109375,2.288818359375e-05,183.59396362304688,0.0,0.0,-0.7140477895736694,0.8452894687652588,0.6598358750343323,-0.9100105166435242,-0.9800049066543579,-0.9548076391220093,0.7090741395950317
6,0,77784.94260376692,77784.94260376692,0.0,0.0,0.9746431932475007,1.0,True,-1.1855335235595703,236.19232177734375,57.5591926574707,-0.0,0.2699844241142273,-151.47216796875,190.81134033203125,3467.674072265625,0.0,0.0,0.0,0.0,-0.9424408078193665,-0.965326189994812,0.8607267737388611,-0.9537839293479919,-0.9328123331069946,0.8557525873184204,0.8390985727310181
6,1,77784.94260376692,77784.94260376692,0.0,0.0,0.9746431932475007,1.0,True,345.6344909667969,213.94166564941406,91.71822357177734,54.363914489746094,0.11721523851156235,491.0420227050781,312.4832458496094,3628.65478515625,590.115234375,1257.8265380859375,0.0,0.16666666666666666,-0.9388545155525208,0.045303262770175934,-0.8449602127075195,0.7940391302108765,0.24552100896835327,0.8867397308349609,-0.9434640407562256
6,2,77784.94260376692,77784.94260376692,0.0,0.0,0.9746431932475007,1.0,True,-584.48291015625,333.5241394042969,20.043254852294922,-0.0,0.5,-836.208740234375,190.81297302246094,604.2352294921875,0.0,0.0,0.0,0.16666666666666666,-0.9198269844055176,-0.7210080623626709,0.9800799489021301,-0.9805054068565369,-0.8268558382987976,-0.9451178908348083,0.8157235383987427
6,3,77784.94260376692,77784.94260376692,0.0,0.0,0.9746431932475007,1.0,True,813.3668823242188,254.55255126953125,89.2822265625,5.019338641432114e-05,0.8999999761581421,-971.1177978515625,173.97671508789062,1097.3841552734375,3.814697265625e-06,146.11276245117188,0.0,0.0,-0.77679443359375,0.8964804410934448,0.8438401818275452,-0.9161715507507324,-0.979399561882019,-0.9640337824821472,0.7987201809883118
7,0,128002.6618347168,128002.6618347168,0.0,0.0,0.9663750712040777,1.0,True,-53.539947509765625,356.5680847167969,58.837711334228516,-0.0,0.2699844241142273,-225.4173583984375,213.24752807617188,4019.9169921875,3.814697265625e-06,1602.37255859375,0.0,0.0,-0.9411622881889343,-0.9689499139785767,0.8738106489181519,-0.9581707119941711,-0.9278401136398315,0.9228470921516418,0.8559167385101318
7,1,128002.6618347168,128002.6618347168,0.0,0.0,0.9663750712040777,1.0,True,969.6353149414062,288.8666076660156,62.18621063232422,436.2995300292969,0.25537675619125366,446.1593017578125,361.99359130859375,3608.574951171875,620.3692016601562,1254.1749267578125,0.0,0.16666666666666666,-0.95854252576828,0.36358293890953064,-0.8451194167137146,0.8856654167175293,0.223079651594162,0.8812623620033264,-0.9646077156066895
7,2,128002.6618347168,128002.6618347168,0.0,0.0,0.9663750712040777,1.0,True,-418.0842590332031,398.201171875,21.798908233642578,-0.0,0.5,-967.5869140625,161.78245544433594,730.8346557617188,0.0,134.1095428466797,0.0,0.0,-0.912804365158081,-0.6947287321090698,0.977842390537262,-0.9787178635597229,-0.8597788214683533,-0.9587355256080627,0.881488025188446
7,3,128002.6618347168,128002.6618347168,0.0,0.0,0.9663750712040777,1.0,True,1095.78515625,356.61566162109375,84.63999938964844,5.019338641432114e-05,0.8999999761581421,-1378.4349365234375,147.96070861816406,586.0631103515625,0.0,0.0,0.0,0.0,-0.7883999943733215,0.9229503273963928,0.9201820492744446,-0.9083596467971802,-0.9754754304885864,-0.9679228663444519,0.8460842967033386
8,0,131469.88744354248,131469.88744354248,0.0,0.0,0.9627550209965032,1.0,True,-884.60205078125,483.60577392578125,56.16396713256836,-0.0,0.2699844241142273,-339.2574157714844,203.06878662109375,5577.66845703125,1.1444091796875e-05,1622.65771484375,0.0,0.0,-0.9438360333442688,-0.9702496528625488,0.8741990327835083,-0.9567028880119324,-0.922278642654419,0.9471891522407532,0.8522364497184753
8,1,131469.88744354248,131469.88744354248,0.0,0.0,0.9627550209965032,1.0,True,1424.182861328125,396.3501892089844,18.664955139160156,742.7605590820312,0.49058425426483154,383.2558288574219,410.0096740722656,3557.348876953125,682.010498046875,1245.613525390625,0.0,0.16666666666666666,-0.9875566959381104,0.6189671158790588,-0.855103075504303,0.925420880317688,0.19162791967391968,0.8684202432632446,-0.9730909466743469
8,2,131469.88744354248,131469.88744354248,0.0,0.0,0.9627550209965032,1.0,True,5.340576171875e-05,580.9880981445312,23.46898651123047,-128.6824951171875,0.4661361873149872,-1512.1943359375,127.17578887939453,479.0855407714844,2.86102294921875e-05,114.32154846191406,0.0,0.0,-0.9061240553855896,-0.6565398573875427,0.9726893901824951,-0.9749993681907654,-0.8867354393005371,-0.9648241400718689,0.9151009917259216
8,3,131469.88744354248,131469.88744354248,0.0,0.0,0.9627550209965032,1.0,True,1246.2110595703125,454.53009033203125,83.81199645996094,5.019338641432114e-05,0.8999999761581421,-1721.6038818359375,104.42964172363281,315.34954833984375,0.0,0.0,0.0,0.0,-0.7904700040817261,0.8409984111785889,0.9475142955780029,-0.904792845249176,-0.9706825613975525,-0.9705511331558228,0.8641521334648132
9,0,80500.03465957641,80500.03465957641,0.0,0.0,0.9690921392226037,1.0,True,-2058.480712890625,552.02001953125,53.491355895996094,-0.0,0.2699844241142273,-398.9407043457031,225.64724731445312,4426.1875,0.0,0.0,0.0,0.16666666666666666,-0.9465086460113525,-0.9700310230255127,0.873693585395813,-0.9549833536148071,-0.910659670829773,0.959251344203949,0.8275806307792664
9,1,80500.03465957641,80500.03465957641,0.0,0.0,0.9690921392226037,1.0,True,1465.60205078125,462.0061340332031,0.0,827.109130859375,0.7525021433830261,285.4260559082031,418.57330322265625,4723.69384765625,663.8547973632812,1235.53515625,0.0,0.3333333333333333,-1.0,0.6892576217651367,-0.8666390180587769,0.9441430568695068,0.1427130252122879,0.8533025979995728,-0.9763455986976624
9,2,80500.03465957641,80500.03465957641,0.0,0.0,0.9690921392226037,1.0,True,-4.57763671875e-05,622.4152221679688,25.213823318481445,-182.3502197265625,0.41814929246902466,-1626.71240234375,85.73471069335938,328.0212097167969,9.5367431640625e-07,100.01781463623047,0.0,0.0,-0.89914470911026,-0.6045752763748169,0.9663324952125549,-0.9677613377571106,-0.9102226495742798,-0.969225287437439,0.9334529042243958
9,3,80500.03465957641,80500.03465957641,0.0,0.0,0.9690921392226037,1.0,True,1266.468017578125,519.0410766601562,90.53073120117188,5.019338641432114e-05,0.8999999761581421,-2041.34521484375,48.471195220947266,139.09934997558594,0.0,0.0,0.0,0.0,-0.7736731767654419,0.7458688616752625,0.958189845085144,-0.9039522409439087,-0.9670262932777405,-0.9720334410667419,0.8722451329231262
10,0,178053.6243133545,178053.6243133545,0.0,0.0,0.9787939987941103,1.0,True,-2933.31591796875,536.1093139648438,55.110694885253906,-0.0,0.2699844241142273,-378.4389953613281,254.58628845214844,4625.47509765625,0.0,1633.755615234375,0.0,0.3333333333333333,-0.9448893070220947,-0.9710676670074463,0.8764508962631226,-0.9533719420433044,-0.9037588834762573,0.9605067372322083,0.7841663956642151
10,1,178053.6243133545,178053.6243133545,0.0,0.0,0.9787939987941103,1.0,True,1024.0107421875,477.8472595214844,32.2185173034668,465.78271484375,0.8999999761581421,0.0,454.8023376464844,4698.48046875,337.47064208984375,1231.5623779296875,0.0,0.16666666666666666,-0.9785209894180298,0.8964554071426392,-0.8650215268135071,0.950639009475708,0.1290910691022873,0.8473435044288635,-0.9745896458625793
10,2,178053.6243133545,178053.6243133545,0.0,0.0,0.9787939987941103,1.0,True,-194.106689453125,564.1865844726562,28.482378005981445,-0.0,0.41814929246902466,-1384.574462890625,44.193321228027344,421.4386291503906,4.9591064453125e-05,98.1275405883789,0.0,0.0,-0.8860704898834229,-0.572479784488678,0.9593778252601624,-0.9582845568656921,-0.9270216226577759,-0.9698069095611572,0.9376657605171204
10,3,178053.6243133545,178053.6243133545,0.0,0.0,0.9787939987941103,1.0,True,1276.8968505859375,551.6415405273438,117.775390625,5.019338641432114e-05,0.8999999761581421,-1115.594970703125,15.0,254.17425537109375,1087.82470703125,120.87700653076172,0.0,0.16666666666666666,-0.7055615186691284,0.8975155353546143,0.9640082120895386,-0.8899000883102417,-0.9634986519813538,-0.9702456593513489,0.878776490688324
11,0,264492.77548217773,264492.77548217773,0.0,0.0,0.9860775410497281,1.0,True,-3393.21337890625,530.5404052734375,52.56795883178711,-0.0,0.2699844241142273,-381.8634338378906,243.12924194335938,6152.22509765625,7.62939453125e-06,1631.1431884765625,0.0,0.16666666666666666,-0.9474320411682129,-0.9707760214805603,0.8695725798606873,-0.949163019657135,-0.9040005207061768,0.957371711730957,0.7467412352561951
11,1,264492.77548217773,264492.77548217773,0.0,0.0,0.9860775410497281,1.0,True,524.4502563476562,495.2212829589844,49.43892288208008,7.52900741645135e-05,0.8999999761581421,0.0,454.8023376464844,5906.228515625,337.6763916015625,1247.6737060546875,0.0,0.0,-0.9670407176017761,0.9542867541313171,-0.8769592046737671,0.9515944719314575,0.12731650471687317,0.8715105056762695,-0.9691541790962219
