%Active Power profiles for 672 hours [MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Technologies: Photovoltaic (pv), Wind (w), Load (L),,,,,,,,,,,,,,,,,,,,,,,,,,,,
%The number next to the name of the technology indicates the number of the node to which the technology is connected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ppv11,Ppv16,Ppv23,Ppv28,Ppv3,Ppv32,Ppv6,Ppv8,Pw13,Pw22,Pw25,Pw27,Pw5,Pw9,PL10,PL12,PL14,PL15,PL17,PL18,PL19,PL20,PL24,PL26,PL27,PL29,PL30,PL33,PL4,PL6,PL7
0,0,0,0,0,0,0,0,1.27925,5.4207,0.63688,3.7932,2.53946,1.94526,0.009372333,0.07002,0.018896333,0.018896333,0.0181242,0.064465,0.02837,0.061585,0.080403,0.04151,0.04151,0.020214,0.07427,0.0074004,0.0194352,0.0092195,0.0264455
0,0,0,0,0,0,0,0,1.3685,5.2287,0.504545,3.7515,2.96752,1.9602,0.008504667,0.047713333,0.014908333,0.014908333,0.0116036,0.0428,0.0219745,0.048754,0.063613,0.027287333,0.027287333,0.014661667,0.0601,0.0061226,0.0135148,0.007591,0.018207
0,0,0,0,0,0,0,0,1.37275,5.1381,0.51281,3.6546,3.27675,2.00499,0.007908,0.039873333,0.013355,0.013355,0.0097234,0.036503,0.0194565,0.0346255,0.053599,0.025143667,0.025143667,0.011660333,0.0506,0.0055822,0.0119732,0.00753525,0.01653
0,0,0,0,0,0,0,0,1.391875,4.704,0.479731,3.7239,3.12817,2.04975,0.008089667,0.038013333,0.012606,0.012606,0.0107176,0.034507,0.018647,0.0306115,0.052741,0.021507667,0.021507667,0.010087,0.048052,0.005365,0.0103706,0.0068975,0.015459
0,0,0,0,0,0,0,0,1.447125,4.512,0.479731,3.5856,3.05677,2.00001,0.008439667,0.03547,0.013355,0.013355,0.0110094,0.032562,0.018647,0.031876,0.055533,0.021761333,0.021761333,0.009881333,0.05016,0.0055324,0.0112988,0.00762525,0.017998
0,0,0,0,0,0,0,0,1.442875,4.6131,0.487996,3.1839,3.22337,2.02488,0.010025,0.042546667,0.016536333,0.016536333,0.0129912,0.036503,0.0211205,0.035553,0.055997,0.020132667,0.020132667,0.010477667,0.0533,0.0071936,0.01338,0.0094025,0.020711
0,0,0,0,0,0,0,0,1.4025,4.6938,0.487996,2.92101,3.19957,1.98009,0.016672667,0.077466667,0.032239667,0.032239667,0.0196248,0.054325,0.033384,0.04415,0.063359,0.023630333,0.023630333,0.012180333,0.06336,0.0133138,0.021896,0.0150105,0.0333875
0.00614669,0.0120429,0.01613043,0.0188148,0.0318427,0.0159873,0.01432335,0.0252765,1.40675,4.9764,0.487996,2.68566,3.05677,1.85076,0.030326667,0.14003,0.053423333,0.053423333,0.029564,0.07927,0.0494015,0.05382,0.078638,0.034326667,0.034326667,0.016273667,0.08074,0.02504,0.041872,0.02661,0.05199
0.1434222,0.3693,0.338732,0.31233,0.363919,0.26379,0.1611379,0.284361,1.4365,5.0067,0.471447,2.45034,3.01512,1.72638,0.04324,0.196393333,0.078366667,0.078366667,0.040606,0.116745,0.071275,0.057325,0.083621,0.039936667,0.039936667,0.018054667,0.08697,0.037668,0.06346,0.04041,0.07967
0.483548,1.14006,0.93556,0.86172,1.000773,0.76338,0.402849,0.71091,1.413125,5.1681,0.413554,1.93812,2.84869,1.73133,0.05118,0.242273333,0.104416667,0.104416667,0.04335,0.134945,0.07428,0.08435,0.10289,0.05065,0.05065,0.029787,0.10435,0.045138,0.08193,0.05552,0.095055
0.852346,1.93086,1.758222,1.30575,1.351024,1.07514,0.449395,0.79305,1.442875,5.4912,0.322582,1.53663,2.64044,1.81593,0.049993333,0.257403333,0.107423333,0.107423333,0.047628,0.140015,0.068335,0.10698,0.13346,0.060736667,0.060736667,0.034806667,0.11536,0.045166,0.097148,0.06084,0.08192
1.038785,2.4447,1.763599,1.40733,1.573928,1.04715,0.456552,0.80568,1.498125,5.9151,0.256405,1.37052,2.27171,1.79103,0.04868,0.24403,0.09517,0.09517,0.05089,0.119095,0.058505,0.10734,0.13199,0.056266667,0.056266667,0.033933333,0.11086,0.045914,0.093248,0.061765,0.0825
1.126896,2.6454,1.860385,1.3998,1.587579,1.1151,0.551446,0.97314,1.55975,6.1878,0.206777,1.329,1.89703,1.68159,0.046966667,0.215836667,0.081423333,0.081423333,0.045606,0.10311,0.053215,0.11,0.12717,0.05561,0.05561,0.030438667,0.10945,0.042086,0.09001,0.055935,0.07751
0.97937,2.44872,1.8335,1.23801,1.542087,0.77538,0.587248,1.03632,1.570375,6.531,0.190228,1.4259,1.95653,1.43781,0.0418,0.21833,0.069946667,0.069946667,0.050288,0.121475,0.05583,0.10495,0.10846,0.06698,0.06698,0.0343,0.100095,0.03759,0.090668,0.04909,0.09231
0.70278,1.76628,1.446375,0.86925,1.296437,0.6195,0.515644,0.90996,1.513,6.8943,0.215042,1.43973,2.40261,1.26369,0.04631,0.217496667,0.080983333,0.080983333,0.03821,0.12508,0.046935,0.09579,0.10068,0.04393,0.04393,0.030336333,0.085005,0.039838,0.086914,0.0499525,0.07854
0.35037,0.84702,0.833416,0.45531,0.655044,0.33972,0.25245,0.4455,1.574625,7.3182,0.281219,1.41204,2.90802,1.13433,0.04778,0.246676667,0.092806667,0.092806667,0.04618,0.136205,0.0433465,0.097395,0.098736,0.054846667,0.054846667,0.030378333,0.08531,0.038082,0.092622,0.054035,0.090555
0.0553197,0.10437,0.0698991,0.075258,0.0955281,0.067947,0.0859401,0.151659,1.600125,7.1769,0.355661,1.45359,3.02702,1.02984,0.049253333,0.258306667,0.102433333,0.102433333,0.049098,0.146485,0.0494015,0.10361,0.11093,0.06413,0.06413,0.032628,0.094535,0.038952,0.091756,0.0525925,0.0925
0,0,0,0.0112887,0,0,0.00179044,0.0031596,1.608625,7.1367,0.347396,1.27362,2.72374,0.99501,0.053543333,0.29284,0.112013333,0.112013333,0.0633,0.175205,0.06403,0.12421,0.13566,0.0853,0.0853,0.039243333,0.120455,0.04083,0.094044,0.0515125,0.109545
