day,split,cluster,stress_score,pv_energy,wind_energy,electric_load_energy,heat_load_energy,renewable_energy,renewable_to_electric_load,renewable_to_total_load,electric_net_energy,electric_net_peak,electric_net_min,electric_net_ramp_abs,residual_electric_demand_energy,electric_surplus_energy,pv_cv,wind_cv,electric_load_cv,heat_load_cv,pv_peak,wind_peak,electric_load_peak,heat_load_peak,pv_class,wind_class,load_class,heat_class,renewable_class,ramp_class,residual_class,surplus_class,scenario_labels
0,train,3,-0.13569715653905196,21619.970703125,92794.8984375,109063.484375,43349.55078125,114414.8671875,1.0490666774784125,0.7506895133359477,-5351.380859375,3885.040771484375,-3417.34814453125,14938.1494140625,21209.8984375,26561.279296875,1.5707905721344908,0.14654356228208373,0.4537999546713749,0.3884106003758728,4027.43505859375,4841.2431640625,7329.490234375,2786.633544921875,low,high,mid,mid,mid,low,mid,mid,pv_low|wind_high|load_mid|heat_mid|renewable_mid|ramp_low|residual_mid|surplus_mid
1,test,3,5.465435358543557,19714.109375,86428.2265625,134015.140625,44840.1171875,106142.3359375,0.7920174947583465,0.5934538197852287,27872.796875,5639.390625,-2317.20556640625,21224.96484375,40523.73046875,12650.9326171875,1.5489564826590234,0.10519972834555986,0.44703866811775395,0.3858605282509833,3483.3154296875,4339.2451171875,8792.677734375,2799.249755859375,low,high,high,high,low,high,high,low,pv_low|wind_high|load_high|heat_high|renewable_low|ramp_high|residual_high|surplus_low|high_net_ramp_day|high_residual_demand_day
2,train,3,4.13163806922854,18268.8203125,96162.015625,133176.859375,45038.70703125,114430.828125,0.8592395755690946,0.6420922169287392,18746.029296875,4463.2060546875,-2724.0654296875,19983.25,33805.98046875,15059.9501953125,1.559570399780772,0.08354427182994364,0.4260138692400266,0.39259184987100143,3310.18701171875,4684.7548828125,8517.015625,2793.994384765625,low,high,high,high,low,high,high,low,pv_low|wind_high|load_high|heat_high|renewable_low|ramp_high|residual_high|surplus_low|high_net_ramp_day|high_residual_demand_day
3,train,3,3.0630143168742174,22355.98046875,111916.8125,132322.453125,44313.41796875,134272.8125,1.0147394439034285,0.7601672959663687,-1950.34228515625,4197.28173828125,-2875.53759765625,20357.908203125,22499.0703125,24449.412109375,1.5589263032781502,0.10609594336791146,0.4227951414215922,0.38584979346635295,4047.796142578125,5347.001953125,8647.5234375,2811.634033203125,low,high,high,high,mid,high,mid,mid,pv_low|wind_high|load_high|heat_high|renewable_mid|ramp_high|residual_mid|surplus_mid|high_net_ramp_day
4,train,3,5.358616293985414,24123.005859375,82823.4765625,135600.78125,44227.48046875,106946.484375,0.7886863437595423,0.5947145535014039,28654.296875,5730.458984375,-1967.13818359375,21447.560546875,40797.03125,12142.73046875,1.5650372653244828,0.07883283015873342,0.42634205382127544,0.38673358153501547,4386.42919921875,4127.869140625,8919.830078125,2816.463623046875,low,mid,high,high,low,high,high,low,pv_low|wind_mid|load_high|heat_high|renewable_low|ramp_high|residual_high|surplus_low|high_net_ramp_day|high_residual_demand_day
5,train,3,-1.5061988980083376,23923.5,87826.2890625,95840.9296875,40471.296875,111749.78125,1.1659922500164865,0.8198074675184184,-15908.853515625,3310.87744140625,-3946.26953125,17000.326171875,16234.5283203125,32143.380859375,1.566307276854798,0.1437982399785369,0.37097720686047225,0.37424996293087576,4347.921875,4554.94140625,6675.67138671875,2835.0,low,high,mid,low,high,mid,low,mid,pv_low|wind_high|load_mid|heat_low|renewable_high|ramp_mid|residual_low|surplus_mid
6,train,1,-4.678911779549913,23845.71484375,63019.9609375,77723.0390625,40173.75,86865.671875,1.1176309228612131,0.7367942126816563,-9142.6357421875,2015.56982421875,-2892.30322265625,11286.1982421875,8632.619140625,17775.25390625,1.5532863531293022,0.26521569614842777,0.38929086984783795,0.3946013326840757,4298.087890625,3832.422607421875,5433.43798828125,2810.46044921875,low,low,low,low,high,low,low,mid,pv_low|wind_low|load_low|heat_low|renewable_high|ramp_low|residual_low|surplus_mid
7,test,0,-2.214951979016691,65779.0859375,58991.6171875,78523.84375,42128.7734375,124770.6953125,1.5889529772604898,1.0341316932943139,-46246.8515625,2444.179931640625,-6382.0478515625,18484.421875,6491.8125,52738.6640625,1.132904996813662,0.23292464510042352,0.40803467326607873,0.3695371957060554,7868.5556640625,3279.603515625,5368.37451171875,2811.68994140625,high,low,low,mid,high,high,low,high,pv_high|wind_low|load_low|heat_mid|renewable_high|ramp_high|residual_low|surplus_high|high_surplus_day
8,validation,0,-4.096175961581759,64290.05078125,87450.6640625,79430.859375,40769.8984375,151740.71875,1.9103497046861706,1.2623940273879044,-72309.8671875,816.4326171875,-7499.3046875,17837.376953125,1111.919921875,73421.78125,1.1232413479525918,0.22242066134928717,0.34988181322975875,0.3574792623397508,7530.0126953125,4962.849609375,5362.552734375,2816.55712890625,high,high,low,low,high,mid,low,high,pv_high|wind_high|load_low|heat_low|renewable_high|ramp_mid|residual_low|surplus_high|high_surplus_day
9,train,0,-4.727807390644935,56629.90625,92289.765625,82009.125,40840.8203125,148919.6875,1.8158916766884172,1.212208008079979,-66910.546875,827.86865234375,-6494.94140625,15997.1259765625,1324.09716796875,68234.640625,1.1324048915748586,0.1546539164888762,0.35318327166201136,0.35337565623440964,6669.2333984375,4801.59228515625,5427.318359375,2653.390625,mid,high,low,low,high,mid,low,high,pv_mid|wind_high|load_low|heat_low|renewable_high|ramp_mid|residual_low|surplus_high|high_surplus_day
